,Local.Authority,Eligible,ValidVotes,PctTurnout,Con,Lab,LD,UKIP,Green,BNP,SNP,PC,Other,GSSCode,MatchName
318,Kingston upon Hull ,184408,49696,26.9,0.0824211204,0.3180738892,0.1183797489,0.3576545396,0.0658201867,0.0154539601,NA,NA,0.0421965551,E06000010,"Kingston upon Hull, City of"
319,Kirklees ,309219,109941,35.6,0.191893834,0.3375719704,0.0532012625,0.2690170182,0.0845999218,0.0173092841,NA,NA,0.0464067091,E08000034,Kirklees
320,Leeds ,534130,185050,34.6,0.1871169954,0.3268467982,0.063528776,0.2735855174,0.0931153742,0.0134774385,NA,NA,0.0423291002,E08000035,Leeds
321,North Lincolnshire ,124505,37105,29.8,0.263010376,0.2345236491,0.0302924134,0.3617032745,0.0533890311,0.0182994206,NA,NA,0.0387818353,E06000013,North Lincolnshire
322,North East Lincolnshire ,113607,35140,30.9,0.2126636312,0.2284291406,0.0451622083,0.4122936824,0.0484348321,0.0130620376,NA,NA,0.0399544678,E06000012,North East Lincolnshire
323,Richmondshire ,35643,11608,32.6,0.3705203308,0.1121640248,0.0590110269,0.3192625775,0.0878704342,0.008356306,NA,NA,0.0428152998,E07000166,Richmondshire
324,Rotherham ,194956,68119,34.9,0.1096903948,0.3420337938,0.0197154979,0.4102966867,0.0414862226,0.0264096654,NA,NA,0.0503677388,E08000018,Rotherham
325,Ryedale ,40421,13860,34.3,0.3545454545,0.1124098124,0.0811688312,0.3018759019,0.0966089466,0.0082972583,NA,NA,0.0450937951,E07000167,Ryedale
326,Scarborough ,84236,26178,31.1,0.2678585071,0.1790052716,0.0419818168,0.3665673466,0.085109634,0.0112690045,NA,NA,0.0482084193,E07000168,Scarborough
327,Selby ,65954,21109,32,0.3109100384,0.1975460704,0.037093183,0.3390023213,0.0569899095,0.0133592307,NA,NA,0.0450992468,E07000169,Selby
328,Sheffield ,393077,141504,36,0.1083290932,0.3361813094,0.101050147,0.2765928878,0.1221732248,0.0156462008,NA,NA,0.040027137,E08000019,Sheffield
329,Wakefield ,247649,75927,30.7,0.1495120313,0.3396551951,0.0242733152,0.3604251452,0.0500744136,0.021178237,NA,NA,0.0548816626,E08000036,Wakefield
330,York ,153470,47300,30.8,0.231564482,0.2250528541,0.1041014799,0.2387737844,0.1576321353,0.0073784355,NA,NA,0.0354968288,E06000014,York
331,Allerdale ,69633,25098,36,0.2397402183,0.2907004542,0.0529125827,0.2883496693,0.0651047892,0.0253805084,NA,NA,0.0378117778,E07000026,Allerdale
332,Barrow-in-Furness ,52467,12368,23.6,0.1970407503,0.3474288486,0.0213454075,0.3311772316,0.0506953428,0.0142302717,NA,NA,0.0380821475,E07000027,Barrow-in-Furness
333,Blackburn with Darwen ,103332,39166,37.9,0.18278609,0.4594035643,0.0280600521,0.236557218,0.0388347036,0.0245365879,NA,NA,0.0298217842,E06000008,Blackburn with Darwen
334,Blackpool ,108675,32695,30.1,0.2239180303,0.2827037773,0.0249273589,0.3388285671,0.0468267319,0.0378345313,NA,NA,0.0449610032,E06000009,Blackpool
335,Bolton ,197296,72156,36.6,0.1898109651,0.3548977216,0.0317367925,0.3185182105,0.0483119907,0.0212594933,NA,NA,0.0354648262,E08000001,Bolton
336,Burnley ,66527,21807,32.8,0.1280322832,0.3367267391,0.1380749301,0.2873389279,0.0382446004,0.0368230385,NA,NA,0.0347594809,E07000117,Burnley
337,Bury ,142517,51353,36,0.2331898818,0.3349560883,0.041574981,0.2757774619,0.0599770218,0.0169805075,NA,NA,0.0375440578,E08000002,Bury
338,Carlisle ,84704,29005,34.2,0.2825374935,0.2521634201,0.0441647992,0.2958110671,0.0652646096,0.0199965523,NA,NA,0.0400620583,E07000028,Carlisle
339,Cheshire East ,284213,92597,32.6,0.3336285193,0.1813989654,0.0641165481,0.3017376373,0.0753372139,0.0120630258,NA,NA,0.0317180902,E06000049,Cheshire East
340,Cheshire West and Chester ,253856,79164,31.2,0.2809231469,0.2479409833,0.0592441009,0.2987342732,0.0729119297,0.0115961801,NA,NA,0.0286493861,E06000050,Cheshire West and Chester
341,Chorley ,81958,32409,39.5,0.2617791354,0.3169798513,0.0283871764,0.2912154031,0.052547132,0.0142244438,NA,NA,0.034866858,E07000118,Chorley
342,Copeland ,53867,18325,34,0.2493860846,0.3153069577,0.0312687585,0.292005457,0.0404911323,0.0284856753,NA,NA,0.0430559345,E07000029,Copeland
343,Eden ,41517,13410,32.3,0.3598806861,0.102759135,0.1501118568,0.2507084265,0.0927665921,0.0136465324,NA,NA,0.0301267711,E07000030,Eden
344,Fylde ,60517,21325,35.2,0.3482766706,0.1398827667,0.041922626,0.332098476,0.0762954279,0.0142555686,NA,NA,0.0472684642,E07000119,Fylde
345,Halton ,93603,26497,28.3,0.1172962977,0.4565045099,0.0309846398,0.2837679737,0.0537041929,0.0179265577,NA,NA,0.0398158282,E06000006,Halton
346,Hyndburn ,60157,22269,37,0.2000089811,0.3221069648,0.0161659706,0.3455027168,0.0426602003,0.035340608,NA,NA,0.0382145584,E07000120,Hyndburn
347,Knowsley ,111927,32110,28.7,0.0571161632,0.5756462161,0.02198692,0.2319526627,0.0522890065,0.0193709125,NA,NA,0.041638119,E08000011,Knowsley
348,Lancaster ,103044,35051,34,0.2465550198,0.2469829677,0.0428518445,0.2664973895,0.1480414254,0.016689966,NA,NA,0.0323813871,E07000121,Lancaster
349,Liverpool ,319375,97687,30.6,0.0705518646,0.5181856337,0.0499964171,0.2090349791,0.1028693685,0.0122738952,NA,NA,0.0370878418,E08000012,Liverpool
350,Manchester ,360956,109917,30.5,0.0823348527,0.5142152715,0.0692431562,0.1589926945,0.1241482209,0.0162850151,NA,NA,0.0347807891,E08000003,Manchester
351,Oldham ,159565,55746,34.9,0.1299465432,0.3899831378,0.0866429878,0.2908011337,0.0425321996,0.0248627704,NA,NA,0.0352312274,E08000004,Oldham
352,Pendle ,66340,25927,39.1,0.2525552513,0.3042002546,0.0649901647,0.2627376866,0.0456281097,0.033941451,NA,NA,0.0359470822,E07000122,Pendle
353,Preston ,97044,33403,34.4,0.2132742568,0.3628117235,0.0535281262,0.2574319672,0.0601742358,0.0169745232,NA,NA,0.0358051672,E07000123,Preston
354,Ribble Valley ,45760,15116,33,0.3424186293,0.1141174914,0.094138661,0.3347446414,0.0730351945,0.0126356179,NA,NA,0.0289097645,E07000124,Ribble Valley
355,Rochdale ,155429,52438,33.7,0.1501201419,0.382566078,0.0495823639,0.3001640032,0.0485907167,0.0299591899,NA,NA,0.0390175064,E08000005,Rochdale
356,Rossendale ,52541,18404,35,0.2518474245,0.273364486,0.0287980874,0.3151488807,0.0610736796,0.0323299283,NA,NA,0.0374375136,E07000125,Rossendale
357,Salford ,171166,51238,29.9,0.1562512198,0.3679300519,0.02714782,0.3011631992,0.0695772669,0.0306608377,NA,NA,0.0472696046,E08000006,Salford
358,Sefton ,202387,69733,34.5,0.1692885721,0.3405274404,0.0901294939,0.2833378745,0.0678875138,0.0113002452,NA,NA,0.0375288601,E08000014,Sefton
359,South Lakeland ,80154,35710,44.6,0.2662279474,0.0908148978,0.319266312,0.201708205,0.0882385886,0.0090730888,NA,NA,0.0246709605,E07000031,South Lakeland
360,South Ribble ,85732,27985,32.6,0.2672503127,0.2389494372,0.0419510452,0.3456851885,0.0592102912,0.0148293729,NA,NA,0.0321243523,E07000126,South Ribble
361,St Helens ,135124,41602,30.8,0.1281428777,0.4522378732,0.041728763,0.2565501659,0.0561992212,0.0204557473,NA,NA,0.0446853517,E08000013,St. Helens
362,Stockport ,220409,79576,36.1,0.2229064039,0.2331481854,0.1552980798,0.2618000402,0.0775108073,0.0154946215,NA,NA,0.0338418619,E08000007,Stockport
363,Tameside ,169714,54355,32,0.1566185264,0.3747033392,0.0201269432,0.3165854107,0.0613926962,0.024560758,NA,NA,0.0460123264,E08000008,Tameside
364,Trafford ,160548,63188,39.4,0.2808128126,0.310501994,0.0629708172,0.2118598468,0.0834810407,0.0125181997,NA,NA,0.037855289,E08000009,Trafford
365,Warrington ,159018,51677,32.5,0.2086421425,0.3142016758,0.0754300753,0.2948313563,0.0556340345,0.0132554134,NA,NA,0.0380053022,E06000007,Warrington
366,West Lancashire ,86697,30875,35.6,0.2467044534,0.3232712551,0.0221214575,0.2974898785,0.0647125506,0.0120809717,NA,NA,0.0336194332,E07000127,West Lancashire
367,Wigan ,245936,69970,28.5,0.1361440617,0.3962412462,0.0200085751,0.3190938974,0.0508217808,0.0267257396,NA,NA,0.0509646992,E08000010,Wigan
368,Wirral ,238657,83032,34.8,0.2150496194,0.3501059832,0.0406710666,0.2623205511,0.0823176607,0.0128504673,NA,NA,0.0366846517,E08000015,Wirral
369,Wyre ,85415,30019,35.1,0.3155001832,0.1972750591,0.0240181219,0.3540091276,0.0546320664,0.0189879743,NA,NA,0.0355774676,E07000128,Wyre
370,Darlington ,78200,23145,29.6,0.2620004321,0.2826528408,0.0511125513,0.306632102,0.0489090516,0.0132642039,NA,NA,0.0354288183,E06000005,Darlington
371,Durham ,399294,110285,27.6,0.1550618851,0.3941787188,0.052346194,0.2814979372,0.0554563177,0.0210092034,NA,NA,0.0404497438,E06000047,County Durham
372,Gateshead ,147386,52061,35.3,0.1169013273,0.4301108315,0.0803480532,0.2730066653,0.0507865773,0.0165382916,NA,NA,0.0323082538,E08000037,Gateshead
373,Hartlepool ,70170,19041,27.1,0.157082086,0.3108555223,0.0268368258,0.3903156347,0.0410692716,0.019746862,NA,NA,0.0540937976,E06000001,Hartlepool
374,Middlesbrough ,98422,23773,24.2,0.1563959113,0.354561898,0.0312960081,0.3657510621,0.0406763976,0.0169520044,NA,NA,0.0343667185,E06000002,Middlesbrough
375,Newcastle upon Tyne ,201929,67197,33.3,0.1373573225,0.3859398485,0.1051535039,0.234564043,0.0798249922,0.0165483578,NA,NA,0.0406119321,E08000021,Newcastle upon Tyne
376,North Tyneside ,157388,54720,34.8,0.2020102339,0.3823647661,0.0399305556,0.263377193,0.0538925439,0.0151498538,NA,NA,0.0432748538,E08000022,North Tyneside
377,Northumberland ,242792,78480,32.3,0.2538735984,0.2769750255,0.0966488277,0.2737640163,0.0559760449,0.0122706422,NA,NA,0.0304918451,E06000057,Northumberland
378,Redcar & Cleveland ,103830,30702,29.6,0.1846133802,0.2784183441,0.0750765422,0.3611165396,0.0442642173,0.0155690183,NA,NA,0.0409419582,E06000003,Redcar and Cleveland
379,South Tyneside ,114445,38840,33.9,0.1280895984,0.4277548919,0.022554068,0.3083676622,0.0418640577,0.0238414006,NA,NA,0.0475283213,E08000023,South Tyneside
380,Stockton-on-Tees ,142428,41828,29.4,0.2381180071,0.3007315674,0.0414076695,0.3314048006,0.0390886488,0.0155159223,NA,NA,0.0337333843,E06000004,Stockton-on-Tees
381,Sunderland ,212496,68580,32.3,0.1598425197,0.4213910761,0.0284339458,0.3002770487,0.0384660251,0.0166083406,NA,NA,0.034981044,E08000024,Sunderland
